ICD, description
E12, Malnutrition-related diabetes mellitus  
E12.0, Malnutrition-related diabetes mellitus with coma  
E12.1, Malnutrition-related diabetes mellitus with ketoacidosis  
E12.2, Malnutrition-related diabetes mellitus with renal complications  
E12.3, Malnutrition-related diabetes mellitus with ophthalmic complications  
E12.4, Malnutrition-related diabetes mellitus with neurological complications  
E12.5, Malnutrition-related diabetes mellitus with peripheral circulatory complications  
E12.6, Malnutrition-related diabetes mellitus with other specified complications  
E12.7, Malnutrition-related diabetes mellitus with multiple complications  
E12.8, Malnutrition-related diabetes mellitus with unspecified complications  
E12.9, Malnutrition-related diabetes mellitus without complications
E13, Other specified diabetes mellitus  
E13.0, Other specified diabetes mellitus with coma  
E13.1, Other specified diabetes mellitus with ketoacidosis  
E13.2, Other specified diabetes mellitus with renal complications  
E13.3, Other specified diabetes mellitus with ophthalmic complications  
E13.4, Other specified diabetes mellitus with neurological complications  
E13.5, Other specified diabetes mellitus with peripheral circulatory complications  
E13.6, Other specified diabetes mellitus with other specified complications  
E13.7, Other specified diabetes mellitus with multiple complications  
E13.8, Other specified diabetes mellitus with unspecified complications  
E13.9, Other specified diabetes mellitus without complications  
E14, Unspecified diabetes mellitus  
E14.0, Unspecified diabetes mellitus with coma  
E14.1, Unspecified diabetes mellitus with ketoacidosis  
E14.2, Unspecified diabetes mellitus with renal complications  
E14.3, Unspecified diabetes mellitus with ophthalmic complications  
E14.4, Unspecified diabetes mellitus with neurological complications  
E14.5, Unspecified diabetes mellitus with peripheral circulatory complications  
E14.6, Unspecified diabetes mellitus with other specified complications  
E14.7, Unspecified diabetes mellitus with multiple complications  
E14.8, Unspecified diabetes mellitus with unspecified complications  
E14.9, Unspecified diabetes mellitus without complications  
