ICD, description
E11, type 2 diabetes mellitus
E11.0, Type 2 diabetes mellitus with coma  
E11.1, Type 2 diabetes mellitus with ketoacidosis  
E11.2, Type 2 diabetes mellitus with renal complications  
E11.3, Type 2 diabetes mellitus with ophthalmic complications  
E11.4, Type 2 diabetes mellitus with neurological complications  
E11.5, Type 2 diabetes mellitus with peripheral circulatory complications  
E11.6, Type 2 diabetes mellitus with other specified complications  
E11.7, Type 2 diabetes mellitus with multiple complications  
E11.8, Type 2 diabetes mellitus with unspecified complications  
E11.9, Type 2 diabetes mellitus without complications 




