medcodeid	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId	Grouping
36112013	1969	1969.00	Abdominal pain	21522001	36112013	27	Abdominal
90723010	197C	197C.00	Lower abdominal pain	54586004	90723010	27	Abdominal
137890011	197B	197B.00	Upper abdominal pain	83132003	137890011	27	Abdominal
252305018	197A	197A.00	Generalised abdominal pain	102614006	252305018	27	Abdominal
252571013	1963	1963.00	Non-colicky abdominal pain	162038003	252571013	27	Abdominal
252584016	1971	1971.00	Central abdominal pain	162046002	252584016	27	Abdominal
254351016	25C1	25C1.00	On examination - no abdominal pain on palpation	163213005	2667390012	27	Abdominal
254352011	25C2	25C2.00	On examination - abdominal pain - right hypochondrium	163214004	2667392016	27	Abdominal
254353018	25C3	25C3.00	On examination - abdominal pain - epigastrium	163215003	2667393014	27	Abdominal
254354012	25C4	25C4.00	On examination - abdominal pain - left hypochondrium	163216002	2667726010	27	Abdominal
254355013	25C5	25C5.00	On examination - abdominal pain - right lumbar	163217006	2667727018	27	Abdominal
254356014	25C6	25C6.00	On examination - abdominal pain - umbilical	163218001	2667728011	27	Abdominal
254358010	25C7	25C7.00	On examination - abdominal pain - left lumbar	163219009	2667729015	27	Abdominal
254359019	25C8	25C8.00	On examination - abdominal pain - right iliac	163220003	2667730013	27	Abdominal
254360012	25C9	25C9.00	On examination - abdominal pain - hypogastrium	163221004	2667731012	27	Abdominal
254361011	25CA	25CA.00	On examination - abdominal pain - left iliac	163222006	2667732017	27	Abdominal
254362016	25CZ	25CZ.00	On examination - abdominal pain on palpation	268941000	2669747018	27	Abdominal
317562013	R090	R090.00	[D]Abdominal pain	21522001	36112013	27	Abdominal
317577017	R090E	R090E00	Recurrent acute abdominal pain	271858001	406849018	32	Abdominal
317586010	R090y	R090y00	[D]Other specified abdominal pain	21522001	36112013	27	Abdominal
317587018	R090z	R090z00	[D]Abdominal pain NOS	21522001	36112013	27	Abdominal
318003010	Ryu11	Ryu1100	[X]Other and unspecified abdominal pain	21522001	36112013	27	Abdominal
369361010	197-3	197..13	Site of abdominal pain	247353003	369361010	27	Abdominal
369368016	196-1	196..11	Abdominal pain type	247358007	369368016	27	Abdominal
453214019	L16y5	L16y500	Abdominal pain in pregnancy	309737007	453214019	32	Abdominal
455443010	R090N	R090N00	Nonspecific abdominal pain	304542004	446863014	32	Abdominal
1218836019	197A-1	197A.11	General abdominal pain-symptom	102614006	1218836019	27	Abdominal
303651000006110	R090H	R090H00	[D]Upper abdominal pain	83132003	137890011	27	Abdominal
958281000006114	EMISNQCO8	NA	Colicky abdominal pain control	958281000006105	958281000006114	27	Abdominal
958291000006112	EMISNQCO9	NA	Colicky abdominal pain present	958291000006108	958291000006112	27	Abdominal
1786591000006112	R090P	R090P00	Functional abdominal pain syndrome	449890002	2912942015	32	Abdominal
1858471000006119	JHCAB1	NA	Abdominal pain score	1858471000006103	1858471000006119	27	Abdominal
1983911000006113	EMISNQMA113	NA	Manchester triage - Abdominal pain in adult	1983911000006109	1983911000006113	1	Abdominal
2646781000006115	^ESCTAC264678	NA	Acute abdominal pain syndrome	9209005	16186013	32	Abdominal
2659121000006113	^ESCTSP265912	NA	Spasmodic abdominal pain	9991008	195250015	27	Abdominal
2659131000006111	^ESCTCO265913	NA	Colicky abdominal pain	9991008	1236016018	27	Abdominal
2842251000006112	^ESCTAP284225	NA	AP - Abdominal pain	21522001	481053019	27	Abdominal
3714121000006115	^ESCTAB371412	NA	Abdominal pain through to back	74704000	124064011	31	Abdominal
4077731000006118	^ESCTLO407773	NA	Localised abdominal pain	102613000	252289013	31	Abdominal
4077741000006111	^ESCTLO407774	NA	Localized abdominal pain	102613000	165941018	31	Abdominal
4077761000006110	^ESCTGE407776	NA	Generalized abdominal pain	102614006	165942013	27	Abdominal
4202081000006115	^ESCTCH420208	NA	Chronic abdominal pain	111985007	179237016	27	Abdominal
4270381000006114	^ESCTAC427038	NA	Acute abdominal pain	116290004	179236013	31	Abdominal
5086191000006118	^ESCTCH508619	NA	Chronic nonspecific abdominal pain	235841007	353529017	27	Abdominal
5243121000006113	^ESCTTY524312	NA	Type of abdominal pain	247358007	2768129012	27	Abdominal
5561641000006110	^ESCTOE556164	NA	O/E - abdominal pain	274287009	410069014	31	Abdominal
5561651000006112	^ESCTON556165	NA	On examination - abdominal pain	274287009	2669894018	31	Abdominal
5700651000006115	^ESCTLE570065	NA	Left sided abdominal pain	285387005	424372018	31	Abdominal
5700661000006118	^ESCTRI570066	NA	Right sided abdominal pain	285388000	424373011	31	Abdominal
5965591000006114	^ESCTPS596559	NA	Psychosomatic abdominal pain	307199009	450398016	27	Abdominal
6043821000006114	^ESCTAB604382	NA	Abdominal pain - cause unknown	314212008	458531010	31	Abdominal
6043831000006112	^ESCTUN604383	NA	Unexplained abdominal pain	314212008	458532015	31	Abdominal
7223421000006117	^ESCTRE722342	NA	Recurrent abdominal pain	439469002	2791396015	27	Abdominal
7278511000006117	^ESCTPE727851	NA	Periumbilical abdominal pain	443503005	2873027010	31	Abdominal
